acc_h_x[mg],acc_h_y[mg],acc_h_z[mg]
-54.656,390.400,772.992
-50.752,402.112,772.992
-54.656,390.400,757.376
-42.944,406.016,753.472
-42.944,441.152,745.664
-54.656,406.016,745.664
-74.176,433.344,737.856
-101.504,406.016,722.240
-105.408,417.728,714.432
-70.272,417.728,694.912
-93.696,413.824,698.816
-93.696,425.536,694.912
-54.656,406.016,679.296
-46.848,417.728,663.680
-70.272,402.112,636.352
-50.752,417.728,644.160
-54.656,386.496,628.544
-31.232,402.112,605.120
-31.232,417.728,620.736
-7.808,390.400,605.120
-42.944,402.112,597.312
-35.136,409.920,569.984
0.000,402.112,550.464
-23.424,370.880,538.752
-15.616,390.400,515.328
19.520,370.880,503.616
15.616,382.592,499.712
0.000,378.688,476.288
15.616,398.208,515.328
15.616,370.880,480.192
31.232,378.688,472.384
35.136,406.016,452.864
42.944,370.880,441.152
39.040,359.168,425.536
27.328,359.168,437.248
27.328,394.304,409.920
46.848,378.688,402.112
42.944,374.784,390.400
39.040,343.552,366.976
39.040,382.592,359.168
35.136,355.264,355.264
31.232,359.168,335.744
23.424,359.168,331.840
39.040,390.400,327.936
31.232,398.208,308.416
54.656,382.592,300.608
35.136,378.688,292.800
31.232,402.112,281.088
42.944,351.360,261.568
42.944,374.784,245.952
66.368,347.456,226.432
58.560,394.304,238.144
78.080,378.688,195.200
70.272,370.880,214.720
109.312,363.072,195.200
81.984,359.168,160.064
113.216,382.592,160.064
74.176,374.784,136.640
105.408,378.688,136.640
109.312,366.976,124.928
113.216,366.976,101.504
136.640,374.784,85.888
152.256,366.976,105.408
132.736,366.976,78.080
132.736,363.072,85.888
124.928,386.496,70.272
163.968,413.824,85.888
124.928,339.648,78.080
156.160,374.784,66.368
167.872,402.112,70.272
163.968,370.880,62.464
187.392,370.880,78.080
179.584,370.880,46.848
152.256,378.688,58.560
191.296,390.400,62.464
191.296,382.592,35.136
144.448,413.824,27.328
171.776,398.208,27.328
195.200,398.208,54.656
156.160,394.304,27.328
163.968,417.728,0.000
156.160,406.016,-11.712
167.872,409.920,-27.328
140.544,382.592,-23.424
148.352,421.632,-35.136
132.736,421.632,-66.368
132.736,394.304,-78.080
97.600,421.632,-136.640
128.832,402.112,-132.736
81.984,417.728,-144.448
97.600,417.728,-148.352
78.080,429.440,-167.872
85.888,448.960,-187.392
70.272,429.440,-203.008
78.080,417.728,-226.432
74.176,429.440,-234.240
81.984,417.728,-277.184
74.176,417.728,-284.992
89.792,409.920,-304.512
46.848,425.536,-316.224
66.368,382.592,-359.168
85.888,413.824,-378.688
31.232,382.592,-429.440
35.136,378.688,-441.152
70.272,366.976,-445.056
66.368,366.976,-476.288
58.560,374.784,-491.904
42.944,355.264,-507.520
42.944,359.168,-519.232
39.040,363.072,-527.040
27.328,366.976,-530.944
42.944,335.744,-562.176
35.136,351.360,-554.368
35.136,347.456,-569.984
39.040,312.320,-577.792
3.904,284.992,-577.792
-15.616,300.608,-597.312
11.712,304.512,-636.352
-7.808,277.184,-601.216
0.000,265.472,-632.448
0.000,261.568,-648.064
-3.904,238.144,-648.064
15.616,206.912,-648.064
0.000,226.432,-675.392
15.616,214.720,-679.296
7.808,175.680,-710.528
39.040,163.968,-710.528
-3.904,171.776,-714.432
3.904,144.448,-730.048
3.904,117.120,-757.376
-11.712,132.736,-749.568
31.232,97.600,-792.512
15.616,62.464,-827.648
-3.904,31.232,-823.744
27.328,31.232,-862.784
35.136,0.000,-878.400
11.712,-27.328,-925.248
15.616,-31.232,-933.056
-35.136,-81.984,-972.096
-3.904,-66.368,-987.712
-7.808,-148.352,-1022.848
-3.904,-187.392,-1046.272
-35.136,-195.200,-1089.216
-54.656,-238.144,-1120.448
-93.696,-273.280,-1147.776
-109.312,-273.280,-1190.720
-124.928,-304.512,-1233.664
-117.120,-370.880,-1241.472
-132.736,-406.016,-1288.320
-171.776,-448.960,-1358.592
-167.872,-472.384,-1382.016
-214.720,-523.136,-1432.768
-222.528,-566.080,-1460.096
-269.376,-628.544,-1460.096
-234.240,-667.584,-1495.232
-273.280,-749.568,-1506.944
-277.184,-788.608,-1499.136
-300.608,-866.688,-1487.424
-320.128,-886.208,-1464.000
-363.072,-960.384,-1456.192
-402.112,-979.904,-1397.632
-488.000,-1007.232,-1280.512
-573.888,-1057.984,-1139.968
-737.856,-1015.040,-968.192
-890.112,-956.480,-730.048
-1030.656,-901.824,-417.728
-1147.776,-847.168,-132.736
-1214.144,-788.608,167.872
-1241.472,-776.896,460.672
-1233.664,-733.952,683.200
-1210.240,-698.816,1011.136
-2846.016,925.248,2986.560
-9088.512,8116.416,11649.536
5547.584,-5528.064,53074.880
17033.152,710.528,27741.824
7995.392,-4208.512,8873.792
4758.976,-5852.096,-585.600
4973.696,-909.632,-3544.832
2358.016,-597.312,-831.552
-445.056,-456.768,1225.856
-1850.496,749.568,1608.448
-2065.216,2330.688,1592.832
-1979.328,3138.816,1085.312
-1534.272,2967.040,355.264
-1319.552,2705.472,-343.552
-1678.720,2533.696,-745.664
